Horizonte,Activo,Modelo,Regimen_Real,Regimen_Predicho,Conteo
Regimen prediccion 21,GOOGL,SVM,Alto,Bajo,22
Regimen prediccion 21,GOOGL,SVM,Alto,Medio,327
Regimen prediccion 21,GOOGL,SVM,Alto,Alto,210
Regimen prediccion 21,TSLA,Persistencia,Bajo,Bajo,6
Regimen prediccion 21,TSLA,Persistencia,Bajo,Medio,25
Regimen prediccion 21,TSLA,Persistencia,Bajo,Alto,26
Regimen prediccion 21,TSLA,Persistencia,Medio,Bajo,15
Regimen prediccion 21,TSLA,Persistencia,Medio,Medio,92
Regimen prediccion 21,TSLA,Persistencia,Medio,Alto,106
Regimen prediccion 21,TSLA,Persistencia,Alto,Bajo,36
Regimen prediccion 21,TSLA,Persistencia,Alto,Medio,92
Regimen prediccion 21,TSLA,Persistencia,Alto,Alto,344
Regimen prediccion 21,TSLA,Regresion Logistica,Bajo,Bajo,4
Regimen prediccion 21,TSLA,Regresion Logistica,Bajo,Medio,0
Regimen prediccion 21,TSLA,Regresion Logistica,Bajo,Alto,53
Regimen prediccion 21,TSLA,Regresion Logistica,Medio,Bajo,14
Regimen prediccion 21,TSLA,Regresion Logistica,Medio,Medio,0
Regimen prediccion 21,TSLA,Regresion Logistica,Medio,Alto,199
Regimen prediccion 21,TSLA,Regresion Logistica,Alto,Bajo,23
Regimen prediccion 21,TSLA,Regresion Logistica,Alto,Medio,5
Regimen prediccion 21,TSLA,Regresion Logistica,Alto,Alto,444
Regimen prediccion 21,TSLA,Arbol de Decision,Bajo,Bajo,6
Regimen prediccion 21,TSLA,Arbol de Decision,Bajo,Medio,19
Regimen prediccion 21,TSLA,Arbol de Decision,Bajo,Alto,32
Regimen prediccion 21,TSLA,Arbol de Decision,Medio,Bajo,27
Regimen prediccion 21,TSLA,Arbol de Decision,Medio,Medio,74
Regimen prediccion 21,TSLA,Arbol de Decision,Medio,Alto,112
Regimen prediccion 21,TSLA,Arbol de Decision,Alto,Bajo,30
Regimen prediccion 21,TSLA,Arbol de Decision,Alto,Medio,126
Regimen prediccion 21,TSLA,Arbol de Decision,Alto,Alto,316
Regimen prediccion 21,TSLA,Random Forest,Bajo,Bajo,6
Regimen prediccion 21,TSLA,Random Forest,Bajo,Medio,0
Regimen prediccion 21,TSLA,Random Forest,Bajo,Alto,51
Regimen prediccion 21,TSLA,Random Forest,Medio,Bajo,30
Regimen prediccion 21,TSLA,Random Forest,Medio,Medio,7
Regimen prediccion 21,TSLA,Random Forest,Medio,Alto,176
Regimen prediccion 21,TSLA,Random Forest,Alto,Bajo,34
Regimen prediccion 21,TSLA,Random Forest,Alto,Medio,1
Regimen prediccion 21,TSLA,Random Forest,Alto,Alto,437
Regimen prediccion 21,TSLA,XGBoost,Bajo,Bajo,5
Regimen prediccion 21,TSLA,XGBoost,Bajo,Medio,17
Regimen prediccion 21,TSLA,XGBoost,Bajo,Alto,35
Regimen prediccion 21,TSLA,XGBoost,Medio,Bajo,18
Regimen prediccion 21,TSLA,XGBoost,Medio,Medio,64
Regimen prediccion 21,TSLA,XGBoost,Medio,Alto,131
Regimen prediccion 21,TSLA,XGBoost,Alto,Bajo,27
Regimen prediccion 21,TSLA,XGBoost,Alto,Medio,81
Regimen prediccion 21,TSLA,XGBoost,Alto,Alto,364
Regimen prediccion 21,TSLA,SVM,Bajo,Bajo,7
Regimen prediccion 21,TSLA,SVM,Bajo,Medio,0
Regimen prediccion 21,TSLA,SVM,Bajo,Alto,50
Regimen prediccion 21,TSLA,SVM,Medio,Bajo,37
Regimen prediccion 21,TSLA,SVM,Medio,Medio,0
Regimen prediccion 21,TSLA,SVM,Medio,Alto,176
Regimen prediccion 21,TSLA,SVM,Alto,Bajo,48
Regimen prediccion 21,TSLA,SVM,Alto,Medio,0
Regimen prediccion 21,TSLA,SVM,Alto,Alto,424
